節點_id,目標節點_id,作者_id,節點_標題,節點_內容,內容_鷹架,節點_類型
1,,1,太陽光發電的想法,我覺得太陽光可以發電，因為太陽很亮！,我的想法,想法
2,1.0,2,光線怎麼變電能？,我想知道太陽光怎麼變成電能的呢？,我想知道,提問
3,2.0,3,太陽能板是什麼？,我查了一下，太陽能板好像和太陽能有關。,舉例和參考來源,資訊
4,1.0,4,需要太陽能嗎？,我覺得要發電應該要有太陽才行吧？,我的想法,提問
5,4.0,5,夜晚能發電嗎？,如果太陽不在天上，夜晚還能發電嗎？,我想知道,提問
6,5.0,6,儲能裝置是什麼？,我查到夜晚好像需要儲能裝置才能用電。,舉例和參考來源,資訊
7,1.0,1,發電的其他方式,有沒有其他不是太陽光的發電方式呢？,我想知道,提問
8,7.0,2,風力發電是什麼？,我聽過風力發電，不知道是不是一種方式。,我想知道,提問
9,7.0,3,水力發電怎麼做？,我也想知道水力發電是怎麼運作的。,我想知道,提問
10,22.0,4,太陽光發電的結論,經過大家的討論，我們發現太陽光確實能發電。,我的總結,想法
11,,5,太陽光是什麼？,我覺得太陽光是太陽發出來的光。,我的想法,想法
12,11.0,6,太陽光怎麼形成？,我查了一下，好像是太陽核心裡面的反應。,舉例和參考來源,資訊
13,12.0,1,核心反應是什麼？,原來是氫彼此融合變成氦，釋放出光和熱。,舉例和參考來源,資訊
14,11.0,2,光是什麼？,我覺得光是一種電磁波，可以傳播的。,我的想法,想法
15,14.0,3,光的波動是怎麼回事？,我查了一下，光的波動是一種振動的方式。,舉例和參考來源,資訊
16,15.0,4,光怎麼變成電？,光線擊打在太陽能板上，激發電子，產生電流。,舉例和參考來源,資訊
17,14.0,5,太陽能板是什麼材質？,我想知道太陽能板是用什麼材質做的。,我想知道,提問
18,17.0,6,太陽能板的主要材料,我查到太陽能板主要用矽晶片製成。,舉例和參考來源,資訊
19,17.0,1,有其他材料可以嗎？,我也好奇有沒有其他材料可以做太陽能板。,我想知道,提問
20,17.0,2,有機太陽能電池是什麼？,我查到有機太陽能電池是新型材料的一種。,舉例和參考來源,資訊
21,19.0,3,實驗：太陽能發電小實驗,我們可以嘗試用小太陽能板做個簡單的實驗。,我的想法,實驗
22,21.0,4,實驗步驟,先將太陽能板放在陽光下，然後觀察是否有電流。,我的想法,實驗
23,22.0,5,結果和想法,我們實驗後發現，太陽能板確實能產生電流。,我的總結,實驗
24,,6,課堂紀錄：太陽光發電,今天我們討論了太陽光發電的原理和做了實驗。,我的總結,課程紀錄
25,4.0,2,沒可能,你是不是沒腦袋，晚上沒光怎麼發電!,我的想法,想法
